,Region,Country,City,Month,AvgTemperature_C
0,Africa,Algeria,Algiers,1,10.924196305486628
1,Africa,Algeria,Algiers,2,11.287326849395813
2,Africa,Algeria,Algiers,3,13.472390405293634
3,Africa,Algeria,Algiers,4,15.69879487179487
4,Africa,Algeria,Algiers,5,18.913310817020495
5,Africa,Algeria,Algiers,6,22.866746913580247
6,Africa,Algeria,Algiers,7,25.81620071684588
7,Africa,Algeria,Algiers,8,26.420612305854238
8,Africa,Algeria,Algiers,9,23.594635802469135
9,Africa,Algeria,Algiers,10,20.134265232974915
10,Africa,Algeria,Algiers,11,15.029743827160493
11,Africa,Algeria,Algiers,12,11.992639603137501
12,Africa,Benin,Cotonou,1,27.668720705817485
13,Africa,Benin,Cotonou,2,28.890777651467303
14,Africa,Benin,Cotonou,3,29.26515609578723
15,Africa,Benin,Cotonou,4,28.949994911020273
16,Africa,Benin,Cotonou,5,28.298308129847403
17,Africa,Benin,Cotonou,6,26.91860185185185
18,Africa,Benin,Cotonou,7,26.006751727183005
19,Africa,Benin,Cotonou,8,25.50220732335038
20,Africa,Benin,Cotonou,9,26.173607487922705
21,Africa,Benin,Cotonou,10,27.075839436912368
22,Africa,Benin,Cotonou,11,28.243686563704674
23,Africa,Benin,Cotonou,12,28.23646059708823
24,Africa,Burundi,Bujumbura,1,22.347160493827165
25,Africa,Burundi,Bujumbura,2,22.595146871008943
26,Africa,Burundi,Bujumbura,3,22.548387096774196
27,Africa,Burundi,Bujumbura,4,23.7448914431673
28,Africa,Burundi,Bujumbura,5,21.247939068100358
29,Africa,Burundi,Bujumbura,6,24.14932098765432
30,Africa,Burundi,Bujumbura,7,25.57941358024691
31,Africa,Burundi,Bujumbura,8,26.610035842293907
32,Africa,Burundi,Bujumbura,9,24.85003306878307
33,Africa,Burundi,Bujumbura,10,23.856652949245543
34,Africa,Burundi,Bujumbura,11,20.10813492063492
35,Africa,Burundi,Bujumbura,12,21.59104938271605
36,Africa,Central African Republic,Bangui,1,25.41262791205989
37,Africa,Central African Republic,Bangui,2,27.462320064021707
38,Africa,Central African Republic,Bangui,3,27.760068128328996
39,Africa,Central African Republic,Bangui,4,27.160106230591733
40,Africa,Central African Republic,Bangui,5,26.7316093901683
41,Africa,Central African Republic,Bangui,6,25.834495620455765
42,Africa,Central African Republic,Bangui,7,25.175760845953697
43,Africa,Central African Republic,Bangui,8,25.11514278563366
44,Africa,Central African Republic,Bangui,9,25.315501085736596
45,Africa,Central African Republic,Bangui,10,25.173176729898334
46,Africa,Central African Republic,Bangui,11,25.63019373340025
47,Africa,Central African Republic,Bangui,12,25.325767715220728
48,Africa,Congo,Brazzaville,1,26.123154121863802
49,Africa,Congo,Brazzaville,2,26.466081322891668
50,Africa,Congo,Brazzaville,3,26.814624804705456
51,Africa,Congo,Brazzaville,4,26.85252445394112
52,Africa,Congo,Brazzaville,5,26.22512866464479
53,Africa,Congo,Brazzaville,6,24.135349948762993
54,Africa,Congo,Brazzaville,7,23.30193384287002
55,Africa,Congo,Brazzaville,8,24.203215240294487
56,Africa,Congo,Brazzaville,9,25.787904723564143
57,Africa,Congo,Brazzaville,10,26.037239883642407
58,Africa,Congo,Brazzaville,11,25.881437520477377
59,Africa,Congo,Brazzaville,12,25.750907239090967
60,Africa,Egypt,Cairo,1,14.465312930796802
61,Africa,Egypt,Cairo,2,15.941880762915249
62,Africa,Egypt,Cairo,3,18.49677970774745
63,Africa,Egypt,Cairo,4,21.695011633428294
64,Africa,Egypt,Cairo,5,25.706158671078025
65,Africa,Egypt,Cairo,6,28.30474074074074
66,Africa,Egypt,Cairo,7,29.263512544802865
67,Africa,Egypt,Cairo,8,29.363542413381122
68,Africa,Egypt,Cairo,9,27.72285802469136
69,Africa,Egypt,Cairo,10,24.454910394265234
70,Africa,Egypt,Cairo,11,20.132466049382717
71,Africa,Egypt,Cairo,12,16.046787439613524
72,Africa,Ethiopia,Addis Ababa,1,16.6612749897796
73,Africa,Ethiopia,Addis Ababa,2,18.1512982781033
74,Africa,Ethiopia,Addis Ababa,3,18.8017614785946
75,Africa,Ethiopia,Addis Ababa,4,18.88027530017855
76,Africa,Ethiopia,Addis Ababa,5,18.91123075085362
77,Africa,Ethiopia,Addis Ababa,6,17.360136639938624
78,Africa,Ethiopia,Addis Ababa,7,15.915482254022152
79,Africa,Ethiopia,Addis Ababa,8,15.739314793446091
80,Africa,Ethiopia,Addis Ababa,9,16.4954656492522
81,Africa,Ethiopia,Addis Ababa,10,17.14885488811635
82,Africa,Ethiopia,Addis Ababa,11,16.532602580721065
83,Africa,Ethiopia,Addis Ababa,12,16.007049983424142
84,Africa,Gabon,Libreville,1,27.307040023894864
85,Africa,Gabon,Libreville,2,27.678701949391602
86,Africa,Gabon,Libreville,3,27.689788392610968
87,Africa,Gabon,Libreville,4,27.521887878090777
88,Africa,Gabon,Libreville,5,27.2765706976261
89,Africa,Gabon,Libreville,6,26.081244815302785
90,Africa,Gabon,Libreville,7,25.03380550479078
91,Africa,Gabon,Libreville,8,25.142172956776744
92,Africa,Gabon,Libreville,9,25.8438114966086
93,Africa,Gabon,Libreville,10,26.131457751899553
94,Africa,Gabon,Libreville,11,26.437883545600936
95,Africa,Gabon,Libreville,12,26.910684321003394
96,Africa,Gambia,Banjul,1,24.053991415296718
97,Africa,Gambia,Banjul,2,25.227796112766125
98,Africa,Gambia,Banjul,3,25.43351915602967
99,Africa,Gambia,Banjul,4,25.055744034548386
100,Africa,Gambia,Banjul,5,25.793958257860783
101,Africa,Gambia,Banjul,6,27.59784134156941
102,Africa,Gambia,Banjul,7,27.370524674344708
103,Africa,Gambia,Banjul,8,26.864845523407077
104,Africa,Gambia,Banjul,9,27.006013795381698
